Transaction_ID,Customer_Name,Customer_Email,Product,Category,Quantity,Unit_Price,Total_Price,Transaction_Date,Store_Location,Payment_Method,,,
T000001,Patricia Diaz,jacksondeanna@yahoo.com,Tablet,Accessories,1.00,$129.46,129.46,12/1/2025,Manchester,Debit Card,,,
T000002,Melissa Johns MD,qharris@smith.org,Monitor,Accessories,7.00,$852.16,5965.12,2/2/2025,Liverpool,Online Payment,,,
T000003,Victoria Castaneda,samuel64@ramos.com,Mouse,Accessories,1.00,$140.01,140.01,6/7/2023,Manchester,Online Payment,,,
T000004,Laura Hill,simmonsbrent@martinez.info,Monitor,Accessories,6.00,$70.08,420.48,9/9/2024,Liverpool,Cash,,5581.00,SUM OF QUANTITY
T000005,Danielle Garza,joebell@horton-gentry.net,Keyboard,Electronics,5.00,$994.79,4973.95,4/15/2023,London,Cash,,5.59,AVERAGE PRICE
T000006,Sandra Richard,ericgross@hotmail.com,Keyboard,Electronics,8.00,$309.67,2477.36,7/22/2023,Manchester,Credit Card,,8.00,
T000007,Caroline Fowler,meyersmary@gmail.com,Monitor,Accessories,7.00,$560.92,3926.44,5/23/2023,London,Debit Card,,2843689.29,TOTAL PRICE
T000008,Randall Mason,charles84@yahoo.com,Monitor,Accessories,5.00,$38.08,190.40,8/19/2024,Birmingham,Online Payment,,9947.80, MAXIMUM PRICE SOLD
T000009,Jennifer Allen,davisjames@gmail.com,Monitor,Accessories,2.00,$710.61,1421.22,4/10/2023,London,Cash,,36.96,MINIMUM PRICE SOLD
T000010,John Graham,morrisonnancy@shaw.com,Monitor,Accessories,8.00,$357.02,2856.16,3/6/2023,Manchester,Debit Card,,396397.55,TOTAL PRICE OF KEYBOARD SOLD
T000011,Jason Smith,jonathan75@yahoo.com,Keyboard,Accessories,2.00,$227.76,455.52,6/14/2023,Manchester,Cash,,368332.78,TOTAL PRICE OF MONITORS SOLD
T000012,Stephanie Clark,lisajones@gmail.com,Headphones,Electronics,9.00,$460.36,4143.24,9/13/2024,Liverpool,Credit Card,,1355425,TOTAL PRICE OF ACCESSORIES SOLD
T000013,Carrie Hunt,marshalltimothy@martinez.org,Mouse,Accessories,5.00,$165.36,826.80,6/4/2024,Birmingham,Credit Card,,1488264.29,TOTAL PRICE OF ELECTRONICS SOLD
T000014,Jared Grant,kwaller@roth-davis.info,Tablet,Electronics,3.00,$309.70,929.10,3/1/2024,Manchester,Online Payment,,402992.31,TOTAL PRICE OF TABLET SOLD
T000015,Alicia Cabrera,ricematthew@hotmail.com,Headphones,Accessories,1.00,$679.94,679.94,8/8/2024,Liverpool,Cash,,65152.47,TOTAL UNIT PRICE OF FABLET SOLD
T000016,Larry Hudson,amandathompson@yahoo.com,Tablet,Electronics,10.00,$326.50,3265.00,9/18/2023,Liverpool,Credit Card,,,
T000017,Thomas Shaw,alexandrajohnson@jimenez.biz,Monitor,Accessories,9.00,$780.19,7021.71,5/10/2023,London,Online Payment,,,
T000018,Jacob Evans,andersenjason@gmail.com,Mouse,Electronics,2.00,$187.44,374.88,3/3/2023,London,Cash,,,
T000019,Roger Perry,daniel75@hotmail.com,Monitor,Accessories,2.00,$675.92,1351.84,2/24/2024,London,Cash,,,
T000020,Donna Rogers,johnsonwilliam@clark-lee.com,Laptop,Electronics,8.00,$542.96,4343.68,2/8/2024,Manchester,Cash,,,
T000021,Joel Nolan,chelseybrown@gmail.com,Tablet,Electronics,1.00,$130.80,130.80,7/16/2024,Manchester,Debit Card,,,
T000022,Sean Smith,villanuevadeborah@baker.com,Tablet,Accessories,4.00,$947.26,3789.04,6/29/2024,Manchester,Cash,,,
T000023,Terry Hall,larry03@white.com,Smartphone,Electronics,8.00,$962.66,7701.28,6/6/2024,Liverpool,Debit Card,,,
T000024,Amy Moyer,roberthowell@hotmail.com,Tablet,Electronics,2.00,$536.73,1073.46,11/26/2023,Edinburgh,Debit Card,,,
T000025,Rachel Cardenas,lori82@williams.com,Headphones,Electronics,3.00,$723.10,2169.30,12/26/2024,Birmingham,Credit Card,,,
T000026,John Davis,ronnie79@gmail.com,Monitor,Electronics,8.00,$794.44,6355.52,2/25/2023,Edinburgh,Cash,,,
T000027,Ashley Garcia,derek04@rice.com,Laptop,Accessories,1.00,$981.57,981.57,6/6/2024,London,Debit Card,,,
T000028,Diana Wagner,julia20@yahoo.com,Smartphone,Accessories,9.00,$357.59,3218.31,5/12/2023,Liverpool,Cash,,,
T000029,Christine Hunt,hughesscott@hotmail.com,Tablet,Electronics,5.00,$907.74,4538.70,5/9/2024,Manchester,Online Payment,,,
T000030,Robert Banks,cookdennis@yahoo.com,Laptop,Electronics,1.00,$143.18,143.18,11/29/2024,Birmingham,Credit Card,,,
T000031,Isabel Daniels,gjimenez@knight-davis.org,Headphones,Electronics,7.00,$79.65,557.55,6/24/2023,Edinburgh,Cash,,,
T000032,Ana Delgado,jenkinsmarcus@chavez.com,Monitor,Electronics,9.00,$30.86,277.74,5/1/2024,London,Debit Card,,,
T000033,Andrea Knight,lisa51@gmail.com,Mouse,Electronics,9.00,$823.37,7410.33,12/20/2023,Birmingham,Debit Card,,,
